Ano Fase,Fase Estat,Chamada Divulgação,Instituição Beneficiária Macro,UF Instituição Benef Macro,Grande Área,Área,Qtd Propostas,Total Geral (R$),,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Instituto de Pesquisa Jardim Botânico do Rio de Janeiro,RJ,Ciências Biológicas,Botânica,1,4000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Instituto de Pesquisas Tecnologicas do Estado de Sao Paulo,SP,Engenharias,Engenharia de Materiais e Metalúrgica,1,3200,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Instituto Federal do Maranhão,MA,Engenharias,Engenharia Elétrica,1,3500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Instituto Nacional de Metrologia, Qualidade e Tecnologia,RJ,Engenharias,Engenharia Biomédica,1,4000,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Instituto Nacional de Pesquisas Espaciais,SP,Ciências Exatas e da Terra,Física,1,4500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Instituto Nacional de Tecnologia,RJ,Engenharias,Engenharia de Produção,1,4000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Instituto Tecnologico de Aeronautica,SP,Ciências Exatas e da Terra,Ciência da Computação,1,5800,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Instituto Tecnologico de Aeronautica,SP,Engenharias,Engenharia Elétrica,1,3500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Laboratorio Nacional de Computacao Cientifica,RJ,Ciências Exatas e da Terra,Ciência da Computação,1,7000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Laboratorio Nacional de Computacao Cientifica,RJ,Ciências Exatas e da Terra,Matemática,1,3450,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Museu de Astronomia e Ciencias Afins,RJ,Ciências Humanas,História,1,6000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Museu Paraense Emilio Goeldi,PA,Ciências Biológicas,Ecologia,1,4500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Museu Paraense Emilio Goeldi,PA,Ciências Humanas,Arqueologia,1,5000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Agrárias,Medicina Veterinária,1,3500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Agrárias,Zootecnia,1,3500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Biológicas,Biofísica,1,4000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Biológicas,Bioquímica,3,13500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Biológicas,Imunologia,1,4000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Biológicas,Microbiologia,1,3000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Biológicas,Parasitologia,1,3500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências da Saúde,Farmácia,2,8536,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências da Saúde,Medicina,2,7192,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências da Saúde,Odontologia,2,7000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências da Saúde,Saúde Coletiva,2,5000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Exatas e da Terra,Astronomia,1,8000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Exatas e da Terra,Ciência da Computação,2,9000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Exatas e da Terra,Física,2,10000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Exatas e da Terra,Geociências,1,2300,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Exatas e da Terra,Matemática,2,7000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Exatas e da Terra,Química,4,16300,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Humanas,Ciência Política,1,3500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Humanas,Filosofia,1,4000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Sociais Aplicadas,Direito,1,4500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Sociais Aplicadas,Planejamento Urbano e Regional,1,1700,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Ciências Sociais Aplicadas,Serviço Social,1,3250,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Engenharias,Engenharia Civil,1,5200,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Engenharias,Engenharia de Materiais e Metalúrgica,2,8200,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Engenharias,Engenharia de Transportes,1,2500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Engenharias,Engenharia Elétrica,4,11000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Engenharias,Engenharia Mecânica,2,9200,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Engenharias,Engenharia Nuclear,1,3300,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Engenharias,Engenharia Química,2,9500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Engenharias,Tecnologia e Inovação,1,4000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Não informada,NI,Lingüística, Letras e Artes,Lingüística,2,8500,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Observatório Nacional,RJ,Ciências Exatas e da Terra,Astronomia,2,7339,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontificia Univercidade Catolica do Rio Grande do Sul,RS,Ciências Sociais Aplicadas,Administração,1,4000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontifícia Universidade Católica de Goiás,GO,Ciências Humanas,Psicologia,1,5000,,
