Ano_Fase;Fase Estat;Chamada Divulgação;Instituição_Beneficiária;UF_Instituição_Benef;Grande Área;Área;Qtd_Propostas;Total_Geral
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Instituto de Pesquisa Jardim Botânico do Rio de Janeiro;RJ;Ciências Biológicas;Botânica;1;4.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Instituto de Pesquisas Tecnologicas do Estado de Sao Paulo;SP;Engenharias;Engenharia de Materiais e Metalúrgica;1;3.200
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Instituto Federal do Maranhão;MA;Engenharias;Engenharia Elétrica;1;3.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Instituto Nacional de Metrologia, Qualidade e Tecnologia;RJ;Engenharias;Engenharia Biomédica;1;4.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Instituto Nacional de Pesquisas Espaciais;SP;Ciências Exatas e da Terra;Física;1;4.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Instituto Nacional de Tecnologia;RJ;Engenharias;Engenharia de Produção;1;4.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Instituto Tecnologico de Aeronautica;SP;Ciências Exatas e da Terra;Ciência da Computação;1;5.800
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Instituto Tecnologico de Aeronautica;SP;Engenharias;Engenharia Elétrica;1;3.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Laboratorio Nacional de Computacao Cientifica;RJ;Ciências Exatas e da Terra;Ciência da Computação;1;7.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Laboratorio Nacional de Computacao Cientifica;RJ;Ciências Exatas e da Terra;Matemática;1;3.450
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Museu de Astronomia e Ciencias Afins;RJ;Ciências Humanas;História;1;6.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Museu Paraense Emilio Goeldi;PA;Ciências Biológicas;Ecologia;1;4.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Museu Paraense Emilio Goeldi;PA;Ciências Humanas;Arqueologia;1;5.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Agrárias;Medicina Veterinária;1;3.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Agrárias;Zootecnia;1;3.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Biológicas;Biofísica;1;4.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Biológicas;Bioquímica;3;13.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Biológicas;Imunologia;1;4.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Biológicas;Microbiologia;1;3.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Biológicas;Parasitologia;1;3.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências da Saúde;Farmácia;2;8.536
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências da Saúde;Medicina;2;7.192
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências da Saúde;Odontologia;2;7.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências da Saúde;Saúde Coletiva;2;5.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Exatas e da Terra;Astronomia;1;8.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Exatas e da Terra;Ciência da Computação;2;9.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Exatas e da Terra;Física;2;10.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Exatas e da Terra;Geociências;1;2.300
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Exatas e da Terra;Matemática;2;7.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Exatas e da Terra;Química;4;16.300
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Humanas;Ciência Política;1;3.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Humanas;Filosofia;1;4.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Sociais Aplicadas;Direito;1;4.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Sociais Aplicadas;Planejamento Urbano e Regional;1;1.700
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Ciências Sociais Aplicadas;Serviço Social;1;3.250
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Engenharias;Engenharia Civil;1;5.200
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Engenharias;Engenharia de Materiais e Metalúrgica;2;8.200
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Engenharias;Engenharia de Transportes;1;2.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Engenharias;Engenharia Elétrica;4;11.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Engenharias;Engenharia Mecânica;2;9.200
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Engenharias;Engenharia Nuclear;1;3.300
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Engenharias;Engenharia Química;2;9.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Engenharias;Tecnologia e Inovação;1;4.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Não informada;NI;Lingüística, Letras e Artes;Lingüística;2;8.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Observatório Nacional;RJ;Ciências Exatas e da Terra;Astronomia;2;7.339
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontificia Univercidade Catolica do Rio Grande do Sul;RS;Ciências Sociais Aplicadas;Administração;1;4.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontifícia Universidade Católica de Goiás;GO;Ciências Humanas;Psicologia;1;5.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontifícia Universidade Católica de Minas Gerais;MG;Ciências Exatas e da Terra;Geociências;1;6.000
