Ano Fase;Fase Estat;Região Inst Benef Macro;UF Instituição Benef Macro;Modalidade;Chamada Divulgação;Chamada;Grande Área;Área;Qtd Propostas;Valor Bolsa (R$);Valor OCC (R$);Total Geral (R$)
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 04/2012 - Cooperação CNPq / Instituto Holandês de Polímeros - Universidade Técnica de Eindhoven;CHAMADA  n° 04/2012 - CNPq/DPI-TUe (Holanda);Ciências Biológicas;Bioquímica;1;119.607;28.550;148.157
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 39/2012 - Programa Arquipélago e Ilhas Oceânicas;Chamada CNPq Nº 39/2012 - Programa Arquipélago e Ilhas Oceânicas;Ciências Agrárias;Agronomia;1;17.280;66.250;83.530
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 39/2012 - Programa Arquipélago e Ilhas Oceânicas;Chamada CNPq Nº 39/2012 - Programa Arquipélago e Ilhas Oceânicas;Ciências Biológicas;Botânica;2;83.700;94.892;178.592
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/BBSRC Nº 43/2012;Chamada CNPq/BBSRC n° 43/2012 - Segurança Alimentar, Bioenergia e Biotecnologia Industrial;Ciências Agrárias;Agronomia;1;94.498;40.246;134.744
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/MDA-INCRA Nº 26/2012;Chamada CNPq/MDA/-INCRA nº 26/2012;Ciências Agrárias;Agronomia;1;829.920;494.850;1.324.770
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/MDS-SESAN Nº 27/2012;Chamada CNPq/MDS-SESAN N º 027/2012;Ciências da Saúde;Nutrição;2;75.120;140.131;215.251
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/MPA - Nº 42/2012;Chamada nº 42/2012 - Linha II - Aquicultura;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;2;56.880;111.860;168.740
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/MPA - Nº 42/2012;Chamada nº 42/2012 - Linha III - Processamento e Sanidade Aquícola e Pesqueira;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;1;59.040;180.465;239.505
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE S.A. Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE S.A N° 05/2012 - FORMA-ENGENHARIA;Ciências Agrárias;Engenharia Agrícola;1;16.848;9.693;26.541
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE S.A. Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE S.A N° 05/2012 - FORMA-ENGENHARIA;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;1;16.848;10.000;26.848
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE S.A. Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE S.A N° 05/2012 - FORMA-ENGENHARIA;Ciências Exatas e da Terra;Ciência da Computação;3;48.612;29.971;78.583
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE S.A. Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE S.A N° 05/2012 - FORMA-ENGENHARIA;Ciências Exatas e da Terra;Ciências Ambientais;1;16.848;10.000;26.848
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE S.A. Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE S.A N° 05/2012 - FORMA-ENGENHARIA;Engenharias;Engenharia Aeroespacial;2;33.696;20.000;53.696
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE S.A. Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE S.A N° 05/2012 - FORMA-ENGENHARIA;Engenharias;Engenharia Biomédica;1;16.848;10.000;26.848
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE S.A. Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE S.A N° 05/2012 - FORMA-ENGENHARIA;Engenharias;Engenharia de Produção;1;16.848;9.700;26.548
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE S.A. Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE S.A N° 05/2012 - FORMA-ENGENHARIA;Engenharias;Engenharia Elétrica;2;29.832;16.898;46.730
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE S.A. Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE S.A N° 05/2012 - FORMA-ENGENHARIA;Engenharias;Engenharia Mecânica;8;123.192;79.592;202.784
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE S.A. Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE S.A N° 05/2012 - FORMA-ENGENHARIA;Engenharias;Engenharia Mecatrônica;1;16.848;10.000;26.848
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE S.A. Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE S.A N° 05/2012 - FORMA-ENGENHARIA;Engenharias;Engenharia Química;3;46.680;30.000;76.680
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE S.A. Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE S.A N° 05/2012 - FORMA-ENGENHARIA;Engenharias;Química Industrial;2;25.968;19.229;45.197
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MCTI/CNPq-ISTPCanada Nº 19/2012;Chamada N° 19/2012 MCTI/CNPq-ISTPCanada;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;1;22.324;142.711;165.036
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MCTI/CNPq-ISTPCanada Nº 19/2012;Chamada N° 19/2012 MCTI/CNPq-ISTPCanada;Ciências da Saúde;Farmácia;1;73.711;199.360;273.071
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MCTI/CNPq-ISTPCanada Nº 19/2012;Chamada N° 19/2012 MCTI/CNPq-ISTPCanada;Ciências Exatas e da Terra;Química;1;36.074;198.930;235.004
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MCTI/CNPq-ISTPCanada Nº 19/2012;Chamada N° 19/2012 MCTI/CNPq-ISTPCanada;Ciências Humanas;Educação;1;104.196;59.700;163.896
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 60/2011;Linha 2.1 - Atração de Jovens Talentos - Pesquisador Colaborador no Brasil - BJT;Ciências Agrárias;Agronomia;3;746.600;89.500;836.100
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 60/2011;Linha 2.1 - Atração de Jovens Talentos - Pesquisador Colaborador no Brasil - BJT;Ciências Agrárias;Engenharia Agrícola;1;277.400;25.500;302.900
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 60/2011;Linha 2.1 - Atração de Jovens Talentos - Pesquisador Colaborador no Brasil - BJT;Ciências Agrárias;Zootecnia;1;221.128;60.000;281.128
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 60/2011;Linha 2.1 - Atração de Jovens Talentos - Pesquisador Colaborador no Brasil - BJT;Ciências Biológicas;Ecologia;1;106.600;17.100;123.700
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 60/2011;Linha 2.1 - Atração de Jovens Talentos - Pesquisador Colaborador no Brasil - BJT;Ciências Biológicas;Zoologia;2;551.920;89.414;641.334
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 61/2011;Linha 1 - Bolsa Pesquisador Visitante Especial;Ciências Agrárias;Agronomia;1;235.406;148.000;383.406
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 61/2011;Linha 1 - Bolsa Pesquisador Visitante Especial;Ciências Biológicas;Microbiologia;1;151.784;100.000;251.784
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 61/2011;Linha 1 - Bolsa Pesquisador Visitante Especial;Ciências Exatas e da Terra;Ciência da Computação;2;242.920;54.480;297.400
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 61/2011;Linha 1 - Bolsa Pesquisador Visitante Especial;Ciências Exatas e da Terra;Geociências;1;52.000;125.775;177.775
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 61/2011;Linha 2 - Bolsa Pesquisador Visitante Especial;Ciências Agrárias;Agronomia;6;994.872;288.949;1.283.821
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 61/2011;Linha 2 - Bolsa Pesquisador Visitante Especial;Ciências Agrárias;Ciência e Tecnologia de Alimentos;1;141.175;110.000;251.175
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 61/2011;Linha 2 - Bolsa Pesquisador Visitante Especial;Ciências Biológicas;Genética;9;1.196.249;712.502;1.908.751
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 61/2011;Linha 2 - Bolsa Pesquisador Visitante Especial;Ciências da Saúde;Fisioterapia e Terapia Ocupacional;1;210.700;34.200;244.900
