Ano Fase,Fase Estat,Região Inst Benef Macro,UF Inst Benef Macro,Instituição Beneficiária Macro,Modalidade,Grande Área,Área,Qtd Propostas,Total Geral (R$),
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Economia Doméstica,1,32965,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Serviço Social,2,27300,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Engenharias,Engenharia Civil,2,106920,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Engenharias,Engenharia de Materiais e Metalúrgica,4,216300,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Engenharias,Engenharia de Minas,1,53284,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Engenharias,Engenharia de Produção,4,156843,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Engenharias,Engenharia Elétrica,4,133236,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Engenharias,Engenharia Mecânica,2,79900,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Engenharias,Engenharia Mecatrônica,1,71200,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Engenharias,Engenharia Química,2,88984,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Engenharias,Engenharia Sanitária,1,218200,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Engenharias,Tecnologia e Inovação,1,40000,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Lingüística, Letras e Artes,Artes,5,106640
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Lingüística, Letras e Artes,Letras,4,107420
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Lingüística, Letras e Artes,Lingüística,10,179121
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Outra,Ciências,2,70300,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Outra,Divulgação Científica,3,141200,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Outra,Multidisciplinar,16,590469,
2006,Demanda,Sudeste,MG,Universidade Federal de Viçosa,Apoio a Publicações Científicas,Ciências Agrárias,Recursos Florestais e Engenharia Florestal,1,54000,
2006,Demanda,Sudeste,RJ,Fundacao Getulio Vargas,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Administração,1,144030,
2006,Demanda,Sudeste,RJ,Fundacao Oswaldo Cruz,Apoio a Publicações Científicas,Ciências da Saúde,Saúde Coletiva,1,152138,
2006,Demanda,Sudeste,RJ,IBMEC Educacional S.A,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Economia,1,50375,
2006,Demanda,Sudeste,RJ,Pontificia Universidade Catolica do Rio de Janeiro,Apoio a Publicações Científicas,Ciências Humanas,Psicologia,1,10850,
2006,Demanda,Sudeste,RJ,Sociedade Brasileira de Pediatria,Apoio a Publicações Científicas,Ciências da Saúde,Medicina,1,297000,
2006,Demanda,Sudeste,RJ,Universidade Candido Mendes,Apoio a Publicações Científicas,Ciências Humanas,Antropologia,1,27000,
2006,Demanda,Sudeste,RJ,Universidade do Estado do Rio de Janeiro,Apoio a Publicações Científicas,Ciências Humanas,Psicologia,1,34530,
2006,Demanda,Sudeste,RJ,Universidade Federal do Rio de Janeiro,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Planejamento Urbano e Regional,1,20970,
2006,Demanda,Sudeste,SP,Hospital das Clinicas da Faculdade de Medicina da USP,Apoio a Publicações Científicas,Ciências da Saúde,Medicina,1,204000,
2006,Demanda,Sudeste,SP,Instituto Adolfo Lutz,Apoio a Publicações Científicas,Ciências da Saúde,Saúde Coletiva,1,38550,
2006,Demanda,Sudeste,SP,Universidade de Sao Paulo,Apoio a Publicações Científicas,Ciências Biológicas,Biologia Geral,1,362810,
2006,Demanda,Sudeste,SP,Universidade de Sao Paulo,Apoio a Publicações Científicas,Ciências da Saúde,Odontologia,1,88400,
2006,Demanda,Sudeste,SP,Universidade de Sao Paulo,Apoio a Publicações Científicas,Outra,Multidisciplinar,1,16600,
2006,Demanda,Sudeste,SP,Universidade Estadual de Campinas,Apoio a Publicações Científicas,Ciências Humanas,Educação,1,30000,
2006,Demanda,Sudeste,SP,Universidade Estadual de Campinas,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Economia,1,34075,
2006,Demanda,Sudeste,SP,Universidade Estadual Paulista - Julio de Mesquita Filho,Apoio a Publicações Científicas,Ciências Agrárias,Agronomia,1,39600,
2006,Demanda,Sudeste,SP,Universidade Estadual Paulista Júlio de Mesquita Filho,Apoio a Publicações Científicas,Ciências Humanas,Educação,1,36000,
2006,Demanda,Sudeste,SP,Universidade Federal de São Carlos,Apoio a Publicações Científicas,Ciências Biológicas,Ecologia,1,40000,
2006,Demanda,Sul,PR,Universidade Federal do Paraná,Apoio a Publicações Científicas,Ciências Biológicas,Biologia Geral,1,159059,
2006,Demanda,Sul,RS,Universidade do Vale do Rio dos Sinos,Apoio a Publicações Científicas,Ciências Biológicas,Zoologia,1,24000,
2006,Demanda,Sul,SC,Universidade Federal de Santa Catarina,Apoio a Publicações Científicas,Ciências Humanas,Filosofia,1,4000,
2006,Demanda,Sul,SC,Universidade Federal de Santa Catarina,Apoio a Publicações Científicas,Outra,Multidisciplinar,1,84100,
2007,Demanda,Centro-Oeste,DF,Conselho Nacional de Desenvolvimento Científico e Tecnológico,Apoio a Publicações Científicas,Ciências da Saúde,Medicina,1,297000,
2007,Demanda,Centro-Oeste,DF,Empresa Brasileira de Pesquisa Agropecuaria,Apoio a Publicações Científicas,Ciências Agrárias,Agronomia,2,147915,
2007,Demanda,Centro-Oeste,DF,Empresa Brasileira de Pesquisa Agropecuaria,Apoio a Publicações Científicas,Ciências Agrárias,Medicina Veterinária,1,160640,
2007,Demanda,Centro-Oeste,DF,Universidade de Brasilia,Apoio a Publicações Científicas,Ciências Humanas,Psicologia,1,48000,
2007,Demanda,Centro-Oeste,DF,Universidade de Brasilia,Apoio a Publicações Científicas,Ciências Humanas,Sociologia,1,29880,
2007,Demanda,Centro-Oeste,DF,Universidade de Brasilia,Apoio a Publicações Científicas,Lingüística, Letras e Artes,Letras,1,44000
2007,Demanda,Centro-Oeste,GO,Universidade Federal de Goias,Apoio a Publicações Científicas,Ciências Agrárias,Ciência e Tecnologia de Alimentos,1,22600,
2007,Demanda,Centro-Oeste,GO,Universidade Federal de Goias,Apoio a Publicações Científicas,Ciências Agrárias,Zootecnia,1,17150,
2007,Demanda,Centro-Oeste,GO,Universidade Federal de Goias,Apoio a Publicações Científicas,Ciências Biológicas,Parasitologia,1,24000,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Agrárias,Agronomia,6,199762,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Agrárias,Ciência e Tecnologia de Alimentos,2,192380,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Agrárias,Engenharia Agrícola,1,15000,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Agrárias,Recursos Florestais e Engenharia Florestal,2,62780,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Agrárias,Zootecnia,1,17000,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Biológicas,Biologia Geral,1,14135,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Biológicas,Farmacologia,1,10650,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Biológicas,Microbiologia,1,42400,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Biológicas,Zoologia,1,27845,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências da Saúde,Educação Física,5,288954,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências da Saúde,Enfermagem,8,458676,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências da Saúde,Fisioterapia e Terapia Ocupacional,1,31350,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências da Saúde,Fonoaudiologia,1,53900,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências da Saúde,Medicina,9,1501420,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências da Saúde,Odontologia,3,186260,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências da Saúde,Saúde Coletiva,3,182099,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Exatas e da Terra,Ciência da Computação,1,10900,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Exatas e da Terra,Física,1,180980,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Exatas e da Terra,Geociências,3,94000,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Exatas e da Terra,Matemática,4,116900,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Humanas,Antropologia,1,22351,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Humanas,Ciência Política,2,74000,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Humanas,Educação,7,181152,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Humanas,Filosofia,6,165665,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Humanas,História,11,265415,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Humanas,Psicologia,8,341734,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Humanas,Sociologia,3,68300,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Humanas,Teologia,1,12900,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Administração,5,342357,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Arquitetura e Urbanismo,1,47200,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Comunicação,5,123892,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Direito,5,106240,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Economia,3,106075,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Planejamento Urbano e Regional,2,36300,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Turismo,1,48000,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Engenharias,Engenharia Civil,3,109100,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Engenharias,Engenharia de Energia,1,21000,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Engenharias,Engenharia de Materiais e Metalúrgica,1,49680,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Engenharias,Engenharia de Produção,2,65090,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Engenharias,Engenharia de Transportes,2,41500,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Engenharias,Engenharia Mecânica,1,19400,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Engenharias,Tecnologia e Inovação,1,11000,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Lingüística, Letras e Artes,Artes,2,69500
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Lingüística, Letras e Artes,Letras,2,46460
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Lingüística, Letras e Artes,Lingüística,1,18000
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Outra,Ciências,1,4000,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Outra,Divulgação Científica,1,90000,
2007,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Outra,Multidisciplinar,11,376266,
2007,Demanda,Nordeste,BA,Universidade Federal da Bahia,Apoio a Publicações Científicas,Ciências Agrárias,Zootecnia,1,17100,
2007,Demanda,Nordeste,BA,Universidade Federal da Bahia,Apoio a Publicações Científicas,Ciências Exatas e da Terra,Química,1,307000,
2007,Demanda,Nordeste,BA,Universidade Federal da Bahia,Apoio a Publicações Científicas,Ciências Humanas,História,1,30000,
2007,Demanda,Nordeste,BA,Universidade Federal da Bahia,Apoio a Publicações Científicas,Ciências Humanas,Sociologia,1,53120,
2007,Demanda,Nordeste,CE,Universidade Federal do Ceará,Apoio a Publicações Científicas,Ciências Agrárias,Agronomia,1,18200,
2007,Demanda,Nordeste,PB,Universidade Federal da Paraíba,Apoio a Publicações Científicas,Ciências da Saúde,Farmácia,1,50000,
2007,Demanda,Nordeste,PB,Universidade Federal da Paraíba,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Ciência da Informação,1,12000,
2007,Demanda,Nordeste,PB,Universidade Federal de Campina Grande,Apoio a Publicações Científicas,Ciências Agrárias,Engenharia Agrícola,1,32625,
2007,Demanda,Nordeste,PE,Instituto de Medicina Integral Professor Fernando Figueira,Apoio a Publicações Científicas,Ciências da Saúde,Medicina,1,98500,
2007,Demanda,Norte,AM,Instituto Nacional de Pesquisas da Amazônia,Apoio a Publicações Científicas,Ciências Biológicas,Ecologia,1,87600,
2007,Demanda,Sudeste,MG,Pontifícia Universidade Católica de Minas Gerais,Apoio a Publicações Científicas,Ciências Humanas,Psicologia,1,10630,
2007,Demanda,Sudeste,MG,Universidade Federal de Lavras,Apoio a Publicações Científicas,Ciências Agrárias,Agronomia,2,174960,
2007,Demanda,Sudeste,MG,Universidade Federal de Minas Gerais,Apoio a Publicações Científicas,Ciências Agrárias,Medicina Veterinária,2,250000,
2007,Demanda,Sudeste,MG,Universidade Federal de Minas Gerais,Apoio a Publicações Científicas,Ciências da Saúde,Medicina,1,30000,
2007,Demanda,Sudeste,MG,Universidade Federal de Minas Gerais,Apoio a Publicações Científicas,Ciências Humanas,Filosofia,1,28000,
2007,Demanda,Sudeste,MG,Universidade Federal de Minas Gerais,Apoio a Publicações Científicas,Ciências Humanas,História,2,65000,
2007,Demanda,Sudeste,MG,Universidade Federal de Minas Gerais,Apoio a Publicações Científicas,Ciências Humanas,Psicologia,1,45440,
2007,Demanda,Sudeste,MG,Universidade Federal de Minas Gerais,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Ciência da Informação,1,11000,
2007,Demanda,Sudeste,MG,Universidade Federal de Minas Gerais,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Economia,1,35000,
2007,Demanda,Sudeste,MG,Universidade Federal de Minas Gerais,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Planejamento Urbano e Regional,1,32180,
2007,Demanda,Sudeste,MG,Universidade Federal de Minas Gerais,Apoio a Publicações Científicas,Lingüística, Letras e Artes,Lingüística,1,26000
2007,Demanda,Sudeste,MG,Universidade Federal de Uberlandia,Apoio a Publicações Científicas,Ciências Humanas,História,1,36800,
2007,Demanda,Sudeste,MG,Universidade Federal de Uberlandia,Apoio a Publicações Científicas,Engenharias,Engenharia Mecânica,1,44972,
2007,Demanda,Sudeste,MG,Universidade Federal de Viçosa,Apoio a Publicações Científicas,Ciências Agrárias,Agronomia,3,242878,
2007,Demanda,Sudeste,MG,Universidade Federal de Viçosa,Apoio a Publicações Científicas,Ciências Agrárias,Recursos Florestais e Engenharia Florestal,1,60000,
2007,Demanda,Sudeste,MG,Universidade Federal de Viçosa,Apoio a Publicações Científicas,Ciências Agrárias,Zootecnia,1,94125,
2007,Demanda,Sudeste,MG,Universidade Federal de Viçosa,Apoio a Publicações Científicas,Ciências Biológicas,Botânica,1,60700,
2007,Demanda,Sudeste,MG,Universidade Federal do Triangulo Mineiro,Apoio a Publicações Científicas,Ciências da Saúde,Saúde Coletiva,1,183300,
2007,Demanda,Sudeste,RJ,Comissao Nacional de Energia Nuclear,Apoio a Publicações Científicas,Engenharias,Engenharia de Materiais e Metalúrgica,2,121200,
2007,Demanda,Sudeste,RJ,Fundacao Cesgranrio,Apoio a Publicações Científicas,Ciências Humanas,Educação,1,30769,
2007,Demanda,Sudeste,RJ,Fundacao Getulio Vargas,Apoio a Publicações Científicas,Ciências Humanas,História,1,26580,
2007,Demanda,Sudeste,RJ,Fundacao Getulio Vargas,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Administração,2,173738,
2007,Demanda,Sudeste,RJ,Fundacao Oswaldo Cruz,Apoio a Publicações Científicas,Ciências Biológicas,Biologia Geral,1,161800,
2007,Demanda,Sudeste,RJ,Fundacao Oswaldo Cruz,Apoio a Publicações Científicas,Ciências da Saúde,Saúde Coletiva,2,333046,
2007,Demanda,Sudeste,RJ,Fundacao Oswaldo Cruz,Apoio a Publicações Científicas,Ciências Humanas,História,1,65500,
2007,Demanda,Sudeste,RJ,Instituto Nacional de Matemática Pura e Aplicada,Apoio a Publicações Científicas,Ciências Exatas e da Terra,Matemática,1,48960,
2007,Demanda,Sudeste,RJ,Instituto Universitario de Pesquisas do RJ/TEC,Apoio a Publicações Científicas,Ciências Humanas,Ciência Política,1,88600,
2007,Demanda,Sudeste,RJ,Pontificia Universidade Catolica do Rio de Janeiro,Apoio a Publicações Científicas,Ciências Exatas e da Terra,Ciência da Computação,1,58174,
2007,Demanda,Sudeste,RJ,Pontificia Universidade Catolica do Rio de Janeiro,Apoio a Publicações Científicas,Ciências Humanas,Ciência Política,1,39150,
2007,Demanda,Sudeste,RJ,Pontificia Universidade Catolica do Rio de Janeiro,Apoio a Publicações Científicas,Ciências Humanas,Psicologia,1,13100,
2007,Demanda,Sudeste,RJ,Pontificia Universidade Catolica do Rio de Janeiro,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Economia,1,50375,
2007,Demanda,Sudeste,RJ,Pontificia Universidade Catolica do Rio de Janeiro,Apoio a Publicações Científicas,Engenharias,Engenharia de Materiais e Metalúrgica,1,59380,
2007,Demanda,Sudeste,RJ,Sociedade Brasileira de Cardiologia,Apoio a Publicações Científicas,Ciências da Saúde,Medicina,1,365000,
2007,Demanda,Sudeste,RJ,Sociedade Brasileira de Telecomunicacoes,Apoio a Publicações Científicas,Engenharias,Engenharia Elétrica,1,32400,
2007,Demanda,Sudeste,RJ,Universidade do Estado do Rio de Janeiro,Apoio a Publicações Científicas,Ciências Humanas,Antropologia,1,26300,
2007,Demanda,Sudeste,RJ,Universidade do Estado do Rio de Janeiro,Apoio a Publicações Científicas,Ciências Humanas,História,1,20000,
2007,Demanda,Sudeste,RJ,Universidade Federal do Rio de Janeiro,Apoio a Publicações Científicas,Ciências da Saúde,Medicina,1,32700,
2007,Demanda,Sudeste,RJ,Universidade Federal do Rio de Janeiro,Apoio a Publicações Científicas,Ciências Humanas,Antropologia,2,63900,
2007,Demanda,Sudeste,RJ,Universidade Federal do Rio de Janeiro,Apoio a Publicações Científicas,Ciências Humanas,Educação,1,15000,
2007,Demanda,Sudeste,RJ,Universidade Federal do Rio de Janeiro,Apoio a Publicações Científicas,Ciências Humanas,Filosofia,1,44000,
2007,Demanda,Sudeste,RJ,Universidade Federal do Rio de Janeiro,Apoio a Publicações Científicas,Ciências Humanas,História,1,15500,
2007,Demanda,Sudeste,RJ,Universidade Federal do Rio de Janeiro,Apoio a Publicações Científicas,Ciências Humanas,Psicologia,2,72680,
2007,Demanda,Sudeste,RJ,Universidade Federal do Rio de Janeiro,Apoio a Publicações Científicas,Ciências Sociais Aplicadas,Administração,1,45000,
2007,Demanda,Sudeste,RJ,Universidade Federal do Rio de Janeiro,Apoio a Publicações Científicas,Engenharias,Engenharia de Materiais e Metalúrgica,1,72000,
2007,Demanda,Sudeste,RJ,Universidade Federal do Rio de Janeiro,Apoio a Publicações Científicas,Engenharias,Engenharia Elétrica,1,38700,
2007,Demanda,Sudeste,RJ,Universidade Federal do Rio de Janeiro,Apoio a Publicações Científicas,Engenharias,Engenharia Naval e Oceânica,1,67000,
2007,Demanda,Sudeste,RJ,Universidade Federal do Rio de Janeiro,Apoio a Publicações Científicas,Lingüística, Letras e Artes,Letras,1,24600
2007,Demanda,Sudeste,RJ,Universidade Federal do Rio de Janeiro,Apoio a Publicações Científicas,Outra,Multidisciplinar,1,168000,
2007,Demanda,Sudeste,RJ,Universidade Federal Fluminense,Apoio a Publicações Científicas,Ciências da Saúde,Educação Física,1,149000,
2007,Demanda,Sudeste,RJ,Universidade Federal Fluminense,Apoio a Publicações Científicas,Ciências Exatas e da Terra,Geociências,1,144500,
2007,Demanda,Sudeste,RJ,Universidade Federal Fluminense,Apoio a Publicações Científicas,Ciências Humanas,Educação,1,115000,
2007,Demanda,Sudeste,RJ,Universidade Federal Fluminense,Apoio a Publicações Científicas,Ciências Humanas,História,1,30000,
