Ano Fase;Fase Estat;Região Inst Benef Macro;UF Inst Benef Macro;Instituição Beneficiária Macro;Modalidade;Grande Área;Área;Qtd Propostas;Total Geral (R$)
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Economia Doméstica;1;32.965
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Serviço Social;2;27.300
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Engenharias;Engenharia Civil;2;106.920
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Engenharias;Engenharia de Materiais e Metalúrgica;4;216.300
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Engenharias;Engenharia de Minas;1;53.284
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Engenharias;Engenharia de Produção;4;156.843
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Engenharias;Engenharia Elétrica;4;133.236
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Engenharias;Engenharia Mecânica;2;79.900
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Engenharias;Engenharia Mecatrônica;1;71.200
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Engenharias;Engenharia Química;2;88.984
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Engenharias;Engenharia Sanitária;1;218.200
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Engenharias;Tecnologia e Inovação;1;40.000
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Lingüística, Letras e Artes;Artes;5;106.640
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Lingüística, Letras e Artes;Letras;4;107.420
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Lingüística, Letras e Artes;Lingüística;10;179.121
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Outra;Ciências;2;70.300
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Outra;Divulgação Científica;3;141.200
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Outra;Multidisciplinar;16;590.469
2006;Demanda;Sudeste;MG;Universidade Federal de Viçosa;Apoio a Publicações Científicas;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;1;54.000
2006;Demanda;Sudeste;RJ;Fundacao Getulio Vargas;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Administração;1;144.030
2006;Demanda;Sudeste;RJ;Fundacao Oswaldo Cruz;Apoio a Publicações Científicas;Ciências da Saúde;Saúde Coletiva;1;152.138
2006;Demanda;Sudeste;RJ;IBMEC Educacional S.A;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Economia;1;50.375
2006;Demanda;Sudeste;RJ;Pontificia Universidade Catolica do Rio de Janeiro;Apoio a Publicações Científicas;Ciências Humanas;Psicologia;1;10.850
2006;Demanda;Sudeste;RJ;Sociedade Brasileira de Pediatria;Apoio a Publicações Científicas;Ciências da Saúde;Medicina;1;297.000
2006;Demanda;Sudeste;RJ;Universidade Candido Mendes;Apoio a Publicações Científicas;Ciências Humanas;Antropologia;1;27.000
2006;Demanda;Sudeste;RJ;Universidade do Estado do Rio de Janeiro;Apoio a Publicações Científicas;Ciências Humanas;Psicologia;1;34.530
2006;Demanda;Sudeste;RJ;Universidade Federal do Rio de Janeiro;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Planejamento Urbano e Regional;1;20.970
2006;Demanda;Sudeste;SP;Hospital das Clinicas da Faculdade de Medicina da USP;Apoio a Publicações Científicas;Ciências da Saúde;Medicina;1;204.000
2006;Demanda;Sudeste;SP;Instituto Adolfo Lutz;Apoio a Publicações Científicas;Ciências da Saúde;Saúde Coletiva;1;38.550
2006;Demanda;Sudeste;SP;Universidade de Sao Paulo;Apoio a Publicações Científicas;Ciências Biológicas;Biologia Geral;1;362.810
2006;Demanda;Sudeste;SP;Universidade de Sao Paulo;Apoio a Publicações Científicas;Ciências da Saúde;Odontologia;1;88.400
2006;Demanda;Sudeste;SP;Universidade de Sao Paulo;Apoio a Publicações Científicas;Outra;Multidisciplinar;1;16.600
2006;Demanda;Sudeste;SP;Universidade Estadual de Campinas;Apoio a Publicações Científicas;Ciências Humanas;Educação;1;30.000
2006;Demanda;Sudeste;SP;Universidade Estadual de Campinas;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Economia;1;34.075
2006;Demanda;Sudeste;SP;Universidade Estadual Paulista - Julio de Mesquita Filho;Apoio a Publicações Científicas;Ciências Agrárias;Agronomia;1;39.600
2006;Demanda;Sudeste;SP;Universidade Estadual Paulista Júlio de Mesquita Filho;Apoio a Publicações Científicas;Ciências Humanas;Educação;1;36.000
2006;Demanda;Sudeste;SP;Universidade Federal de São Carlos;Apoio a Publicações Científicas;Ciências Biológicas;Ecologia;1;40.000
2006;Demanda;Sul;PR;Universidade Federal do Paraná;Apoio a Publicações Científicas;Ciências Biológicas;Biologia Geral;1;159.059
2006;Demanda;Sul;RS;Universidade do Vale do Rio dos Sinos;Apoio a Publicações Científicas;Ciências Biológicas;Zoologia;1;24.000
2006;Demanda;Sul;SC;Universidade Federal de Santa Catarina;Apoio a Publicações Científicas;Ciências Humanas;Filosofia;1;4.000
2006;Demanda;Sul;SC;Universidade Federal de Santa Catarina;Apoio a Publicações Científicas;Outra;Multidisciplinar;1;84.100
2007;Demanda;Centro-Oeste;DF;Conselho Nacional de Desenvolvimento Científico e Tecnológico;Apoio a Publicações Científicas;Ciências da Saúde;Medicina;1;297.000
2007;Demanda;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Apoio a Publicações Científicas;Ciências Agrárias;Agronomia;2;147.915
2007;Demanda;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Apoio a Publicações Científicas;Ciências Agrárias;Medicina Veterinária;1;160.640
2007;Demanda;Centro-Oeste;DF;Universidade de Brasilia;Apoio a Publicações Científicas;Ciências Humanas;Psicologia;1;48.000
2007;Demanda;Centro-Oeste;DF;Universidade de Brasilia;Apoio a Publicações Científicas;Ciências Humanas;Sociologia;1;29.880
2007;Demanda;Centro-Oeste;DF;Universidade de Brasilia;Apoio a Publicações Científicas;Lingüística, Letras e Artes;Letras;1;44.000
2007;Demanda;Centro-Oeste;GO;Universidade Federal de Goias;Apoio a Publicações Científicas;Ciências Agrárias;Ciência e Tecnologia de Alimentos;1;22.600
2007;Demanda;Centro-Oeste;GO;Universidade Federal de Goias;Apoio a Publicações Científicas;Ciências Agrárias;Zootecnia;1;17.150
2007;Demanda;Centro-Oeste;GO;Universidade Federal de Goias;Apoio a Publicações Científicas;Ciências Biológicas;Parasitologia;1;24.000
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Agrárias;Agronomia;6;199.762
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Agrárias;Ciência e Tecnologia de Alimentos;2;192.380
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Agrárias;Engenharia Agrícola;1;15.000
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;2;62.780
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Agrárias;Zootecnia;1;17.000
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Biológicas;Biologia Geral;1;14.135
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Biológicas;Farmacologia;1;10.650
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Biológicas;Microbiologia;1;42.400
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Biológicas;Zoologia;1;27.845
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências da Saúde;Educação Física;5;288.954
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências da Saúde;Enfermagem;8;458.676
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências da Saúde;Fisioterapia e Terapia Ocupacional;1;31.350
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências da Saúde;Fonoaudiologia;1;53.900
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências da Saúde;Medicina;9;1.501.420
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências da Saúde;Odontologia;3;186.260
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências da Saúde;Saúde Coletiva;3;182.099
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Exatas e da Terra;Ciência da Computação;1;10.900
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Exatas e da Terra;Física;1;180.980
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Exatas e da Terra;Geociências;3;94.000
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Exatas e da Terra;Matemática;4;116.900
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Humanas;Antropologia;1;22.351
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Humanas;Ciência Política;2;74.000
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Humanas;Educação;7;181.152
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Humanas;Filosofia;6;165.665
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Humanas;História;11;265.415
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Humanas;Psicologia;8;341.734
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Humanas;Sociologia;3;68.300
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Humanas;Teologia;1;12.900
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Administração;5;342.357
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Arquitetura e Urbanismo;1;47.200
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Comunicação;5;123.892
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Direito;5;106.240
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Economia;3;106.075
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Planejamento Urbano e Regional;2;36.300
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Turismo;1;48.000
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Engenharias;Engenharia Civil;3;109.100
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Engenharias;Engenharia de Energia;1;21.000
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Engenharias;Engenharia de Materiais e Metalúrgica;1;49.680
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Engenharias;Engenharia de Produção;2;65.090
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Engenharias;Engenharia de Transportes;2;41.500
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Engenharias;Engenharia Mecânica;1;19.400
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Engenharias;Tecnologia e Inovação;1;11.000
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Lingüística, Letras e Artes;Artes;2;69.500
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Lingüística, Letras e Artes;Letras;2;46.460
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Lingüística, Letras e Artes;Lingüística;1;18.000
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Outra;Ciências;1;4.000
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Outra;Divulgação Científica;1;90.000
2007;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Outra;Multidisciplinar;11;376.266
2007;Demanda;Nordeste;BA;Universidade Federal da Bahia;Apoio a Publicações Científicas;Ciências Agrárias;Zootecnia;1;17.100
2007;Demanda;Nordeste;BA;Universidade Federal da Bahia;Apoio a Publicações Científicas;Ciências Exatas e da Terra;Química;1;307.000
2007;Demanda;Nordeste;BA;Universidade Federal da Bahia;Apoio a Publicações Científicas;Ciências Humanas;História;1;30.000
2007;Demanda;Nordeste;BA;Universidade Federal da Bahia;Apoio a Publicações Científicas;Ciências Humanas;Sociologia;1;53.120
2007;Demanda;Nordeste;CE;Universidade Federal do Ceará;Apoio a Publicações Científicas;Ciências Agrárias;Agronomia;1;18.200
2007;Demanda;Nordeste;PB;Universidade Federal da Paraíba;Apoio a Publicações Científicas;Ciências da Saúde;Farmácia;1;50.000
2007;Demanda;Nordeste;PB;Universidade Federal da Paraíba;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Ciência da Informação;1;12.000
2007;Demanda;Nordeste;PB;Universidade Federal de Campina Grande;Apoio a Publicações Científicas;Ciências Agrárias;Engenharia Agrícola;1;32.625
2007;Demanda;Nordeste;PE;Instituto de Medicina Integral Professor Fernando Figueira;Apoio a Publicações Científicas;Ciências da Saúde;Medicina;1;98.500
2007;Demanda;Norte;AM;Instituto Nacional de Pesquisas da Amazônia;Apoio a Publicações Científicas;Ciências Biológicas;Ecologia;1;87.600
2007;Demanda;Sudeste;MG;Pontifícia Universidade Católica de Minas Gerais;Apoio a Publicações Científicas;Ciências Humanas;Psicologia;1;10.630
2007;Demanda;Sudeste;MG;Universidade Federal de Lavras;Apoio a Publicações Científicas;Ciências Agrárias;Agronomia;2;174.960
2007;Demanda;Sudeste;MG;Universidade Federal de Minas Gerais;Apoio a Publicações Científicas;Ciências Agrárias;Medicina Veterinária;2;250.000
2007;Demanda;Sudeste;MG;Universidade Federal de Minas Gerais;Apoio a Publicações Científicas;Ciências da Saúde;Medicina;1;30.000
2007;Demanda;Sudeste;MG;Universidade Federal de Minas Gerais;Apoio a Publicações Científicas;Ciências Humanas;Filosofia;1;28.000
2007;Demanda;Sudeste;MG;Universidade Federal de Minas Gerais;Apoio a Publicações Científicas;Ciências Humanas;História;2;65.000
2007;Demanda;Sudeste;MG;Universidade Federal de Minas Gerais;Apoio a Publicações Científicas;Ciências Humanas;Psicologia;1;45.440
2007;Demanda;Sudeste;MG;Universidade Federal de Minas Gerais;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Ciência da Informação;1;11.000
2007;Demanda;Sudeste;MG;Universidade Federal de Minas Gerais;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Economia;1;35.000
2007;Demanda;Sudeste;MG;Universidade Federal de Minas Gerais;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Planejamento Urbano e Regional;1;32.180
2007;Demanda;Sudeste;MG;Universidade Federal de Minas Gerais;Apoio a Publicações Científicas;Lingüística, Letras e Artes;Lingüística;1;26.000
2007;Demanda;Sudeste;MG;Universidade Federal de Uberlandia;Apoio a Publicações Científicas;Ciências Humanas;História;1;36.800
2007;Demanda;Sudeste;MG;Universidade Federal de Uberlandia;Apoio a Publicações Científicas;Engenharias;Engenharia Mecânica;1;44.972
2007;Demanda;Sudeste;MG;Universidade Federal de Viçosa;Apoio a Publicações Científicas;Ciências Agrárias;Agronomia;3;242.878
2007;Demanda;Sudeste;MG;Universidade Federal de Viçosa;Apoio a Publicações Científicas;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;1;60.000
2007;Demanda;Sudeste;MG;Universidade Federal de Viçosa;Apoio a Publicações Científicas;Ciências Agrárias;Zootecnia;1;94.125
2007;Demanda;Sudeste;MG;Universidade Federal de Viçosa;Apoio a Publicações Científicas;Ciências Biológicas;Botânica;1;60.700
2007;Demanda;Sudeste;MG;Universidade Federal do Triangulo Mineiro;Apoio a Publicações Científicas;Ciências da Saúde;Saúde Coletiva;1;183.300
2007;Demanda;Sudeste;RJ;Comissao Nacional de Energia Nuclear;Apoio a Publicações Científicas;Engenharias;Engenharia de Materiais e Metalúrgica;2;121.200
2007;Demanda;Sudeste;RJ;Fundacao Cesgranrio;Apoio a Publicações Científicas;Ciências Humanas;Educação;1;30.769
2007;Demanda;Sudeste;RJ;Fundacao Getulio Vargas;Apoio a Publicações Científicas;Ciências Humanas;História;1;26.580
2007;Demanda;Sudeste;RJ;Fundacao Getulio Vargas;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Administração;2;173.738
2007;Demanda;Sudeste;RJ;Fundacao Oswaldo Cruz;Apoio a Publicações Científicas;Ciências Biológicas;Biologia Geral;1;161.800
2007;Demanda;Sudeste;RJ;Fundacao Oswaldo Cruz;Apoio a Publicações Científicas;Ciências da Saúde;Saúde Coletiva;2;333.046
2007;Demanda;Sudeste;RJ;Fundacao Oswaldo Cruz;Apoio a Publicações Científicas;Ciências Humanas;História;1;65.500
2007;Demanda;Sudeste;RJ;Instituto Nacional de Matemática Pura e Aplicada;Apoio a Publicações Científicas;Ciências Exatas e da Terra;Matemática;1;48.960
2007;Demanda;Sudeste;RJ;Instituto Universitario de Pesquisas do RJ/TEC;Apoio a Publicações Científicas;Ciências Humanas;Ciência Política;1;88.600
2007;Demanda;Sudeste;RJ;Pontificia Universidade Catolica do Rio de Janeiro;Apoio a Publicações Científicas;Ciências Exatas e da Terra;Ciência da Computação;1;58.174
2007;Demanda;Sudeste;RJ;Pontificia Universidade Catolica do Rio de Janeiro;Apoio a Publicações Científicas;Ciências Humanas;Ciência Política;1;39.150
2007;Demanda;Sudeste;RJ;Pontificia Universidade Catolica do Rio de Janeiro;Apoio a Publicações Científicas;Ciências Humanas;Psicologia;1;13.100
2007;Demanda;Sudeste;RJ;Pontificia Universidade Catolica do Rio de Janeiro;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Economia;1;50.375
2007;Demanda;Sudeste;RJ;Pontificia Universidade Catolica do Rio de Janeiro;Apoio a Publicações Científicas;Engenharias;Engenharia de Materiais e Metalúrgica;1;59.380
2007;Demanda;Sudeste;RJ;Sociedade Brasileira de Cardiologia;Apoio a Publicações Científicas;Ciências da Saúde;Medicina;1;365.000
2007;Demanda;Sudeste;RJ;Sociedade Brasileira de Telecomunicacoes;Apoio a Publicações Científicas;Engenharias;Engenharia Elétrica;1;32.400
2007;Demanda;Sudeste;RJ;Universidade do Estado do Rio de Janeiro;Apoio a Publicações Científicas;Ciências Humanas;Antropologia;1;26.300
2007;Demanda;Sudeste;RJ;Universidade do Estado do Rio de Janeiro;Apoio a Publicações Científicas;Ciências Humanas;História;1;20.000
2007;Demanda;Sudeste;RJ;Universidade Federal do Rio de Janeiro;Apoio a Publicações Científicas;Ciências da Saúde;Medicina;1;32.700
2007;Demanda;Sudeste;RJ;Universidade Federal do Rio de Janeiro;Apoio a Publicações Científicas;Ciências Humanas;Antropologia;2;63.900
2007;Demanda;Sudeste;RJ;Universidade Federal do Rio de Janeiro;Apoio a Publicações Científicas;Ciências Humanas;Educação;1;15.000
2007;Demanda;Sudeste;RJ;Universidade Federal do Rio de Janeiro;Apoio a Publicações Científicas;Ciências Humanas;Filosofia;1;44.000
2007;Demanda;Sudeste;RJ;Universidade Federal do Rio de Janeiro;Apoio a Publicações Científicas;Ciências Humanas;História;1;15.500
2007;Demanda;Sudeste;RJ;Universidade Federal do Rio de Janeiro;Apoio a Publicações Científicas;Ciências Humanas;Psicologia;2;72.680
2007;Demanda;Sudeste;RJ;Universidade Federal do Rio de Janeiro;Apoio a Publicações Científicas;Ciências Sociais Aplicadas;Administração;1;45.000
2007;Demanda;Sudeste;RJ;Universidade Federal do Rio de Janeiro;Apoio a Publicações Científicas;Engenharias;Engenharia de Materiais e Metalúrgica;1;72.000
2007;Demanda;Sudeste;RJ;Universidade Federal do Rio de Janeiro;Apoio a Publicações Científicas;Engenharias;Engenharia Elétrica;1;38.700
2007;Demanda;Sudeste;RJ;Universidade Federal do Rio de Janeiro;Apoio a Publicações Científicas;Engenharias;Engenharia Naval e Oceânica;1;67.000
2007;Demanda;Sudeste;RJ;Universidade Federal do Rio de Janeiro;Apoio a Publicações Científicas;Lingüística, Letras e Artes;Letras;1;24.600
2007;Demanda;Sudeste;RJ;Universidade Federal do Rio de Janeiro;Apoio a Publicações Científicas;Outra;Multidisciplinar;1;168.000
2007;Demanda;Sudeste;RJ;Universidade Federal Fluminense;Apoio a Publicações Científicas;Ciências da Saúde;Educação Física;1;149.000
2007;Demanda;Sudeste;RJ;Universidade Federal Fluminense;Apoio a Publicações Científicas;Ciências Exatas e da Terra;Geociências;1;144.500
2007;Demanda;Sudeste;RJ;Universidade Federal Fluminense;Apoio a Publicações Científicas;Ciências Humanas;Educação;1;115.000
2007;Demanda;Sudeste;RJ;Universidade Federal Fluminense;Apoio a Publicações Científicas;Ciências Humanas;História;1;30.000
