Ano Fase;Fase Estat;Região Inst Benef Macro;UF Instituição Benef Macro;Modalidade;Chamada Divulgação;Chamada;Grande Área;Área;Qtd Propostas;Valor Bolsa (R$);Valor OCC (R$);Total Geral (R$)
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq-SETEC/MEC Nº 17/2014 - Apoio a Projetos Cooperativos de Pesquisa Aplicada e de Extensão Tecnológica;Chamada CNPq-SETEC/MEC Nº 17/2014 - Linha 4: Soluções Inovadoras;Engenharias;Engenharia Civil;1;17.796;19.204;37.000
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/ANVISA Nº 05/2014 - Pesquisas em Vigilância Sanitária;Chamada CNPq/Anvisa Nº 05/2014 - Pesquisas em Vigilância Sanitária;Ciências Biológicas;Microbiologia;1;0;256.000;256.000
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/ANVISA Nº 05/2014 - Pesquisas em Vigilância Sanitária;Chamada CNPq/Anvisa Nº 05/2014 - Pesquisas em Vigilância Sanitária;Ciências da Saúde;Medicina;1;0;110.000;110.000
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/ANVISA Nº 05/2014 - Pesquisas em Vigilância Sanitária;Chamada CNPq/Anvisa Nº 05/2014 - Pesquisas em Vigilância Sanitária;Ciências da Saúde;Saúde Coletiva;1;0;22.570;22.570
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/MCTI/SEPIN Nº 12/2014 - Programa Start-Up Brasil;CHAMADA CNPQ/MCTI/SEPIN 12/2014 - PROGRAMA START-UP BRASIL;Ciências Exatas e da Terra;Ciência da Computação;2;398.000;0;398.000
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/MDA/SPM-PR Nº 11/2014 - Apoio à implantação e manutenção de Núcleos de Extensão em Desenvolvimento Territorial;CHAMADA CNPq/MDA/SPM-PR Nº 11/2014 - NÚCLEOS DE EXTENSÃO EM DESENVOLVIMENTO TERRITORIAL;Ciências Humanas;Sociologia;2;893.760;508.788;1.402.548
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/MS/SCTIE/DECIT/SVS/DST Nº 30/2014;Chamada CNPq/MS/SCTIE/DECIT/SVS/DST Nº 30/2014;Ciências Biológicas;Imunologia;1;64.534;90.000;154.534
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/MS/SCTIE/DECIT/SVS/DST Nº 30/2014;Chamada CNPq/MS/SCTIE/DECIT/SVS/DST Nº 30/2014;Ciências Biológicas;Microbiologia;1;88.033;164.700;252.733
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/Pandiá Nº 29/2014 - Programa Álvaro Alberto de Indução à Pesquisa em Segurança Internacional e Defesa Nacional;Chamada CNPq/Pandiá Nº 29/2014 - Programa Álvaro Alberto de Indução à Pesquisa em Segurança Internacional e Defesa Nacional;Ciências Humanas;Ciência Política;1;13.200;92.000;105.200
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/SETEC-MEC Nº 41/2014 - Programa Professores para o Futuro (Finlândia) II;CHAMADA CNPQ/SETEC-MEC Nº 41/2014 - PROGRAMA PROFESSORES PARA O FUTURO (FINLÂNDIA) II;Ciências Exatas e da Terra;Química;1;30.565;0;30.565
